AIRPORT_ID,LATITUDE,LONGITUDE
10001,58.10944444,-152.9066667
10003,65.54805556,-161.0716667
10004,68.08333333,-163.1666667
10005,67.57,-148.1838889
10006,57.74527778,-152.8827778
10007,55.55472222,-133.1016667
10008,59.15694444,-151.8291667
10009,59.36277778,-153.4305556
10010,42.28888889,-73.71027778
10010,42.29138889,-73.71027778
10011,35.99027778,-113.8163889
10011,35.98611111,-113.8169444
10012,40.97111111,-74.9975
10013,33.62388889,-101.2408333
10014,64.36416667,-147.3613889
10014,64.36361111,-147.3638889
10015,57.06666667,-153.9377778
10016,58.4575,-154.0233333
10017,57.27722222,-154.3422222
10018,61.96388889,-151.5558333
10019,65.65555556,-165.3563889
10020,66.76583333,-160.1525
10020,66.76611111,-160.1527778
10021,56.59805556,-134.2427778
10022,60.48138889,-146.5822222
10022,60.48222222,-146.5822222
10022,60.48166667,-146.5841667
10023,59.95555556,-158.4805556
10023,59.95555556,-158.4805556
10024,60.78388889,-159.5402778
10025,60.78527778,-158.8644444
10026,61.39027778,-157.9955556
10027,61.18888889,-159.8583333
10028,70.71861111,-154.3883333
10028,70.71555556,-154.4069444
10029,70.74694444,-155.3608333
10030,58.06555556,-153.0725
10031,63.54166667,-150.9938889
10031,63.54111111,-150.995
10033,70.34416667,-150.9447222
10034,65.85138889,-164.7027778
10035,53.97277778,-166.8569444
10036,59.77611111,-151.9636111
10037,59.33166667,-135.8966667
10038,59.28833333,-136.1738889
10039,68.48333333,-155.7333333
10040,64.44,-144.9363889
10041,57.25388889,-154.4222222
10042,57.32305556,-153.1494444
10043,57.96388889,-153.0583333
10044,58.98277778,-153.1833333
10047,58.36194444,-152.3122222
10049,55.56027778,-131.6555556
10050,61.89888889,-161.4380556
10050,61.89888889,-161.4397222
10051,64.09722222,-143.2666667
10052,61.86611111,-141.1597222
10053,71.05694444,-154.7283333
10054,70.57611111,-152.2711111
10054,70.57472222,-152.2588889
10055,70.35833333,-153.1966667
10056,57.78083333,-152.3911111
10058,57.81666667,-134.5833333
10059,57.7,-134.2666667
10060,57.61666667,-134.3666667
10061,57.15,-153.15
10062,70.28444444,-152.2119444
10063,58.5625,-152.5961111
10064,64.35277778,-151.275
10065,59.96388889,-152.6822222
10066,64.33333333,-147.5
10067,53.68333333,-166.75
10069,56.03666667,-160.2661111
10070,58.26666667,-157.5333333
10070,58.26666667,-157.5333333
10071,64.5,-151.6666667
10072,68.48777778,-155.7575
10074,54.58333333,-164.9125
10074,54.5825,-164.9144444
10075,60.86777778,-157.3919444
10076,65.31111111,-143.1352778
10076,65.31138889,-143.1355556
10076,65.31166667,-143.1341667
10078,57.53833333,-154.1644444
10079,60.90555556,-149.6238889
10079,60.90416667,-149.6238889
10079,60.90722222,-149.6227778
10080,57.84944444,-153.1152778
10082,55.74,-162.1252778
10083,57.77416667,-153.5447222
10084,59.73833333,-151.03
10085,59.83333333,-152.5847222
10086,63.7325,-148.9105556
10087,59.24111111,-151.8772222
10088,58.17194444,-152.8941667
10089,58.46444444,-152.5930556
10090,57.34333333,-152.8972222
10091,71.03,-154.4436111
10092,71.50166667,-154.0338889
10093,70.57388889,-155.3213889
10094,70.66277778,-154.8366667
10095,60.69027778,-151.2888889
10096,59.37638889,-150.765
10097,63.75555556,-147.93
10098,61.85944444,-154.2766667
10100,58.58305556,-152.4458333
10102,59.925,-147.5166667
10103,59.03916667,-158.4638889
10104,69.15555556,-163.4972222
10105,69.14805556,-163.5102778
10106,59.79166667,-151.2666667
10107,70.57416667,-155.3180556
10108,70.31194444,-153.2491667
10109,70.98083333,-157.095
10110,68.98555556,-163.4797222
10111,69.17083333,-163.2563889
10112,68.67666667,-162.6469444
10113,59.95277778,-162.6169444
10116,59.63333333,-151.2083333
10117,66.95583333,-155.615
